size,time-eucledian,points-explored-eucledian,time-manhattan,points-explored-manhattan
1060x1060,0.248298,1011051,0.232369,1011051
1065x1065,0.251213,1020563,0.226216,1020563
1070x1070,0.253484,1030867,0.232958,1030867
1075x1075,0.254847,1039911,0.249837,1039911
1080x1080,0.260846,1049755,0.237330,1049755
1085x1085,0.264940,1059219,0.236486,1059219
1090x1090,0.281462,1069249,0.240817,1069250
1095x1095,0.273009,1079426,0.240894,1079426
1100x1100,0.272740,1089053,0.247439,1089054
1105x1105,0.272196,1099216,0.252708,1099216
1110x1110,0.275905,1108954,0.247847,1108954
1115x1115,0.278570,1119114,0.253966,1119114
1120x1120,0.282692,1128701,0.255642,1128701
1125x1125,0.287786,1138946,0.256925,1138946
1130x1130,0.296713,1149578,0.263085,1149578
1135x1135,0.292369,1159330,0.261876,1159332
1140x1140,0.294053,1169699,0.267737,1169699
1145x1145,0.297744,1179817,0.269919,1179817
1150x1150,0.300287,1189991,0.271845,1189991
1155x1155,0.305427,1200928,0.273728,1200928
1160x1160,0.305617,1211155,0.273483,1211155
1165x1165,0.308555,1220853,0.276411,1220853
1170x1170,0.311418,1232368,0.279067,1232368
1175x1175,0.314858,1242142,0.283957,1242142
1180x1180,0.317097,1253038,0.285538,1253038
1185x1185,0.317000,1263373,0.287257,1263373
1190x1190,0.328078,1274612,0.293855,1274612
1195x1195,0.330359,1285214,0.295928,1285214
1200x1200,0.328279,1295745,0.296757,1295747
1205x1205,0.334113,1306540,0.297957,1306540
1210x1210,0.333233,1317696,0.302483,1317696
1215x1215,0.342266,1328422,0.305693,1328422
1220x1220,0.341454,1339122,0.307954,1339122
1225x1225,0.344736,1350865,0.308065,1350865
1230x1230,0.344264,1361326,0.312670,1361326
1235x1235,0.346136,1372441,0.317445,1372442
1240x1240,0.353162,1383755,0.325469,1383755
1245x1245,0.362843,1395215,0.325756,1395215
1250x1250,0.363301,1406044,0.326233,1406044
1255x1255,0.366108,1417423,0.329439,1417423
1260x1260,0.367749,1429041,0.329544,1429041
1265x1265,0.393858,1440472,0.344868,1440472
1270x1270,0.375575,1452049,0.339752,1452049
1275x1275,0.382598,1463424,0.339456,1463424
1280x1280,0.439966,1474641,0.350700,1474641
1285x1285,0.374390,1486107,0.344944,1486107
1290x1290,0.378616,1497514,0.344126,1497514
1295x1295,0.443521,1509252,0.355451,1509253
1300x1300,0.393695,1520853,0.352837,1520853
1305x1305,0.399225,1532310,0.359786,1532310
1310x1310,0.423476,1544200,0.361022,1544200
1315x1315,0.402931,1556314,0.360750,1556314
1320x1320,0.407789,1567258,0.368545,1567258
1325x1325,0.409920,1580136,0.371441,1580136
1330x1330,0.409046,1591242,0.377271,1591242
1335x1335,0.415787,1603597,0.372280,1603597
1340x1340,0.416757,1616072,0.379730,1616072
1345x1345,0.422180,1627999,0.378892,1627999
1350x1350,0.424801,1639763,0.383998,1639763
1355x1355,0.429572,1652580,0.388388,1652580
1360x1360,0.430882,1664866,0.390586,1664866
1365x1365,0.440968,1676440,0.400710,1676440
1370x1370,0.461451,1688884,0.404724,1688884
1375x1375,0.447406,1700856,0.398334,1700857
1380x1380,0.446162,1713809,0.400344,1713810
1385x1385,0.464193,1726381,0.406380,1726381
1390x1390,0.453319,1739771,0.409347,1739771
1395x1395,0.466551,1751627,0.503916,1751627
1400x1400,0.464622,1763543,0.416510,1763544
1405x1405,0.453531,1776887,0.416856,1776887
1410x1410,0.493490,1789013,0.429579,1789013
1415x1415,0.466928,1802107,0.424782,1802107
1420x1420,0.469134,1815338,0.479697,1815338
1425x1425,0.482231,1826785,0.436481,1826785
1430x1430,0.482662,1839349,0.446335,1839349
1440x1440,0.503615,1866628,0.450559,1866628
1445x1445,0.496650,1878784,0.441030,1878784
1450x1450,0.498982,1891877,0.449878,1891877
1455x1455,0.503697,1905097,0.452963,1905097
1460x1460,0.502288,1917672,0.457206,1917672
1465x1465,0.509204,1931192,0.459094,1931192
1470x1470,0.512522,1944740,0.463263,1944740
1475x1475,0.510460,1958157,0.476853,1958157
1480x1480,0.518644,1970719,0.467207,1970719
1485x1485,0.521496,1984800,0.476972,1984800
1490x1490,0.527094,1997542,0.482636,1997542
1495x1495,0.530389,2011409,0.483962,2011409
1500x1500,0.537015,2024325,0.490151,2024325
